136859;Thumb Up
68574;Swiping Right
60572;Stop Sign
20706;No gesture
42237;Thumb Down
100344;Shaking Hand
94060;Thumb Down
39493;No gesture
107050;Turning Hand Counterclockwise
33174;Turning Hand Clockwise
62818;Swiping Left
14506;Stop Sign
29589;Thumb Down
1338;Swiping Right
10179;Swiping Left
145764;Turning Hand Counterclockwise
28883;No gesture
136366;Thumb Down
107175;Shaking Hand
37219;Stop Sign
49506;Stop Sign
40869;Thumb Down
12133;No gesture
123985;No gesture
2720;Thumb Up
112513;Thumb Down
63541;Stop Sign
102678;No gesture
71550;Thumb Down
118215;Thumb Down
64120;Shaking Hand
10504;No gesture
104639;Swiping Left
127712;Thumb Up
50483;Thumb Down
86318;Turning Hand Clockwise
22613;Thumb Up
39088;Turning Hand Clockwise
118779;Turning Hand Clockwise
59386;Shaking Hand
114674;No gesture
114827;No gesture
133108;Shaking Hand
136846;Turning Hand Clockwise
108964;Thumb Up
105791;Swiping Left
38482;Swiping Left
78394;Swiping Right
111880;Swiping Left
88051;No gesture
51084;No gesture
85276;Stop Sign
16841;Shaking Hand
105163;Shaking Hand
147456;Swiping Left
95139;Turning Hand Clockwise
93110;Thumb Up
6022;No gesture
23903;No gesture
14161;Shaking Hand
136771;Thumb Up
75238;Swiping Left
33220;No gesture
39319;Swiping Left
52906;Swiping Right
64810;Shaking Hand
113147;Swiping Left
39824;Turning Hand Counterclockwise
84384;Stop Sign
26719;Shaking Hand
11748;Stop Sign
52825;Thumb Up
84237;No gesture
56683;No gesture
8466;No gesture
67863;Thumb Up
134801;No gesture
94725;No gesture
53151;Thumb Up
63596;Shaking Hand
111679;Swiping Right
66147;Thumb Up
68933;Stop Sign
24918;Thumb Down
135294;Swiping Right
36753;Turning Hand Clockwise
97230;Thumb Down
16198;Swiping Right
103305;Swiping Right
32596;Thumb Down
101807;Stop Sign
145771;Swiping Right
48879;Turning Hand Clockwise
86146;Thumb Down
22459;Thumb Up
69234;Turning Hand Clockwise
144993;No gesture
110876;Turning Hand Counterclockwise
33127;Turning Hand Clockwise
17752;Thumb Down
22724;No gesture
113830;Thumb Down
60762;Thumb Down
51379;Turning Hand Counterclockwise
57801;Shaking Hand
48306;Thumb Up
102451;Thumb Up
36169;Thumb Up
15429;Swiping Left
18931;Thumb Up
22184;Thumb Down
15465;Turning Hand Counterclockwise
112036;Thumb Down
47086;Thumb Up
132650;Thumb Up
44711;Shaking Hand
2340;Stop Sign
121718;Thumb Down
122943;Turning Hand Counterclockwise
95871;Stop Sign
134856;Shaking Hand
3492;Turning Hand Counterclockwise
75466;Stop Sign
25100;Thumb Up
3452;Swiping Left
20894;Shaking Hand
7388;Turning Hand Clockwise
75630;Turning Hand Clockwise
125940;Thumb Up
876;Stop Sign
47572;No gesture
95740;Shaking Hand
63130;Thumb Down
59113;Turning Hand Counterclockwise
7785;Shaking Hand
33366;Thumb Down
96410;Shaking Hand
130848;No gesture
10185;Thumb Up
73495;Swiping Left
139405;Stop Sign
14299;No gesture
65499;Swiping Left
131313;Swiping Right
34065;Turning Hand Counterclockwise
77631;Stop Sign
7170;Thumb Down
80148;Swiping Right
37053;Shaking Hand
47344;Thumb Up
117454;No gesture
146793;Swiping Left
70911;Stop Sign
2449;Turning Hand Clockwise
51882;Swiping Left
81824;No gesture
97762;Thumb Down
41450;Stop Sign
131026;Shaking Hand
41420;Turning Hand Clockwise
85479;Turning Hand Counterclockwise
112475;Thumb Up
84764;Swiping Right
1393;No gesture
40388;Swiping Left
126086;Thumb Down
31738;Swiping Right
81599;Shaking Hand
128353;Thumb Up
96542;Thumb Down
60360;Turning Hand Clockwise
27945;Swiping Right
18229;Thumb Down
45738;Turning Hand Clockwise
32575;Turning Hand Clockwise
114126;Stop Sign
19105;Thumb Up
91465;Swiping Right
116498;Swiping Left
94634;Stop Sign
82435;Thumb Up
60055;Shaking Hand
20597;Swiping Right
28955;Turning Hand Clockwise
112499;Thumb Up
143053;Thumb Up
20768;No gesture
111300;Turning Hand Counterclockwise
50265;Swiping Right
73094;Turning Hand Clockwise
25820;Thumb Down
27049;Shaking Hand
95462;Thumb Up
2149;Shaking Hand
78077;Turning Hand Clockwise
81651;Swiping Left
133303;Turning Hand Clockwise
56376;Stop Sign
143729;Swiping Left
41854;Turning Hand Counterclockwise
98114;Shaking Hand
128004;No gesture
10773;Shaking Hand
77011;Turning Hand Counterclockwise
40717;Stop Sign
119948;Swiping Left
105451;Thumb Down
57946;Stop Sign
111293;Thumb Down
69894;Swiping Right
108595;Thumb Up
67530;Stop Sign
74775;No gesture
88912;Turning Hand Counterclockwise
93303;Swiping Left
106490;Thumb Up
2413;Shaking Hand
91524;Stop Sign
92666;Shaking Hand
72465;Swiping Right
58382;Swiping Right
61068;Thumb Up
112539;No gesture
141002;Thumb Up
104774;No gesture
18901;Shaking Hand
80494;No gesture
110469;Swiping Left
144583;Swiping Left
13359;Thumb Up
5818;Stop Sign
55315;No gesture
56602;Shaking Hand
112486;Turning Hand Clockwise
120782;Stop Sign
36764;Turning Hand Clockwise
118898;Turning Hand Counterclockwise
114451;No gesture
